date,cash_in,cash_out,channel,transaction_count,balance,day_of_week,month,quarter,lag1_in,lag7_in,lag1_out,lag7_out,roll_mean_7_in,roll_mean_7_out,roll_mean_30_in,roll_mean_30_out,cash_in_next_day,cash_out_next_day,cash_in_h7_sum,cash_out_h7_sum,cash_in_next_month_sum,cash_out_next_month_sum
2024-01-01,1.5E7,8500000.0,DEFAULT,1,6500000.0,1,1,1,0.0,0.0,0.0,0.0,1.5E7,8500000.0,1.5E7,8500000.0,2.2E7,1.2E7,1.345E8,7.67E7,7.465E8,4.378E8
2024-01-02,2.2E7,1.2E7,DEFAULT,1,1.0E7,2,1,1,1.5E7,0.0,8500000.0,0.0,1.85E7,1.025E7,1.85E7,1.025E7,1.85E7,9800000.0,1.365E8,7.82E7,7.53E8,4.423E8
2024-01-03,1.85E7,9800000.0,DEFAULT,1,8700000.0,3,1,1,2.2E7,0.0,1.2E7,0.0,1.85E7,1.01E7,1.85E7,1.01E7,2.5E7,1.45E7,1.445E8,8.42E7,7.665E8,4.51E8
2024-01-04,2.5E7,1.45E7,DEFAULT,1,1.05E7,4,1,1,1.85E7,0.0,9800000.0,0.0,2.0125E7,1.12E7,2.0125E7,1.12E7,2.85E7,1.62E7,1.425E8,8.22E7,7.6E8,4.477E8
2024-01-05,2.85E7,1.62E7,DEFAULT,1,1.23E7,5,1,1,2.5E7,0.0,1.45E7,0.0,2.18E7,1.22E7,2.18E7,1.22E7,1.25E7,7800000.0,1.415E8,8.08E7,7.435E8,4.39E8
2024-01-06,1.25E7,7800000.0,DEFAULT,1,4700000.0,6,1,1,2.85E7,0.0,1.62E7,0.0,2.025E7,1.1466666666666666E7,2.025E7,1.1466666666666666E7,8500000.0,5200000.0,1.435E8,8.15E7,7.555E8,4.454E8
2024-01-07,8500000.0,5200000.0,DEFAULT,1,3300000.0,0,1,1,1.25E7,0.0,7800000.0,0.0,1.857142857142857E7,1.057142857142857E7,1.857142857142857E7,1.057142857142857E7,1.95E7,1.12E7,1.448E8,8.25E7,7.74E8,4.56E8
2024-01-08,1.95E7,1.12E7,DEFAULT,1,8300000.0,1,1,1,8500000.0,1.5E7,5200000.0,8500000.0,1.9214285714285713E7,1.0957142857142856E7,1.86875E7,1.065E7,2.4E7,1.35E7,1.603E8,9.33E7,7.8E8,4.593E8
2024-01-09,2.4E7,1.35E7,DEFAULT,1,1.05E7,2,1,1,1.95E7,2.2E7,1.12E7,1.2E7,1.95E7,1.117142857142857E7,1.9277777777777776E7,1.0966666666666666E7,2.65E7,1.58E7,1.648E8,9.63E7,7.85E8,4.628E8
2024-01-10,2.65E7,1.58E7,DEFAULT,1,1.07E7,3,1,1,2.4E7,1.85E7,1.35E7,9800000.0,2.064285714285714E7,1.202857142857143E7,2.0E7,1.145E7,2.3E7,1.25E7,1.633E8,9.47E7,7.925E8,4.675E8
2024-01-11,2.3E7,1.25E7,DEFAULT,1,1.05E7,4,1,1,2.65E7,2.5E7,1.58E7,1.45E7,2.035714285714286E7,1.1742857142857144E7,2.0272727272727273E7,1.1545454545454545E7,2.75E7,1.48E7,1.673E8,9.77E7,7.89E8,4.67E8
2024-01-12,2.75E7,1.48E7,DEFAULT,1,1.27E7,5,1,1,2.3E7,2.85E7,1.25E7,1.62E7,2.0214285714285713E7,1.1542857142857144E7,2.0875E7,1.1816666666666666E7,1.45E7,8500000.0,1.693E8,1.001E8,7.75E8,4.607E8
2024-01-13,1.45E7,8500000.0,DEFAULT,1,6000000.0,6,1,1,2.75E7,1.25E7,1.48E7,7800000.0,2.05E7,1.1642857142857144E7,2.0384615384615384E7,1.1561538461538462E7,9800000.0,6200000.0,1.713E8,1.014E8,7.865E8,4.677E8
2024-01-14,9800000.0,6200000.0,DEFAULT,1,3600000.0,0,1,1,1.45E7,8500000.0,8500000.0,5200000.0,2.0685714285714287E7,1.1785714285714285E7,1.962857142857143E7,1.117857142857143E7,3.5E7,2.2E7,1.727E8,1.024E8,8.052E8,4.783E8
2024-01-15,3.5E7,2.2E7,DEFAULT,1,1.3E7,1,1,1,9800000.0,1.95E7,6200000.0,1.12E7,2.29E7,1.332857142857143E7,2.0653333333333332E7,1.19E7,2.85E7,1.65E7,1.602E8,9.36E7,8.252E8,4.913E8
2024-01-16,2.85E7,1.65E7,DEFAULT,1,1.2E7,2,1,1,3.5E7,2.4E7,2.2E7,1.35E7,2.354285714285714E7,1.3757142857142856E7,2.114375E7,1.21875E7,2.5E7,1.42E7,1.567E8,9.16E7,8.387E8,5.003E8
2024-01-17,2.5E7,1.42E7,DEFAULT,1,1.08E7,3,1,1,2.85E7,2.65E7,1.65E7,1.58E7,2.332857142857143E7,1.352857142857143E7,2.137058823529412E7,1.2305882352941176E7,2.7E7,1.55E7,1.597E8,9.34E7,8.487E8,5.071E8
2024-01-18,2.7E7,1.55E7,DEFAULT,1,1.15E7,4,1,1,2.5E7,2.3E7,1.42E7,1.25E7,2.39E7,1.3957142857142856E7,2.1683333333333332E7,1.2483333333333334E7,2.95E7,1.72E7,1.747E8,1.029E8,8.437E8,5.051E8
2024-01-19,2.95E7,1.72E7,DEFAULT,1,1.23E7,5,1,1,2.7E7,2.75E7,1.55E7,1.48E7,2.4185714285714287E7,1.43E7,2.2094736842105262E7,1.273157894736842E7,1.65E7,9800000.0,1.932E8,1.142E8,8.292E8,4.974E8
2024-01-20,1.65E7,9800000.0,DEFAULT,1,6700000.0,6,1,1,2.95E7,1.45E7,1.72E7,8500000.0,2.447142857142857E7,1.4485714285714285E7,2.1815E7,1.2585E7,1.12E7,7200000.0,2.017E8,1.196E8,8.402E8,5.036E8
2024-01-21,1.12E7,7200000.0,DEFAULT,1,4000000.0,0,1,1,1.65E7,9800000.0,9800000.0,6200000.0,2.467142857142857E7,1.462857142857143E7,2.130952380952381E7,1.232857142857143E7,2.25E7,1.32E7,2.09E8,1.239E8,8.59E8,5.139E8
2024-01-22,2.25E7,1.32E7,DEFAULT,1,9300000.0,1,1,1,1.12E7,3.5E7,7200000.0,2.2E7,2.2885714285714287E7,1.337142857142857E7,2.1363636363636363E7,1.2368181818181818E7,2.5E7,1.45E7,2.185E8,1.302E8,8.645E8,5.169E8
